Date,Volume_stock,Adj_Close_stock,HiLo_vola_stock,Pct_change_stock,Pct_change_stock_scaled,Favs,RTs,Followers,Following,Is a RT,compound,neg,pos,Compound_multiplied,Compound_multiplied_scaled,Predicted_change_stock,Buy/Sell,KNN,LogReg,SVM linear,Decision Tree,Random Forest,KNN(Multiple Input),LogReg(Multiple Input),SVM linear(Multiple Input),Decision Tree(Multiple Input),Random Forest(Multiple Input)
2016-04-25 00:00:00,12670100,35.8273201,4.130935143,-3.039831897,-1.45311334,1,1,1617.32967,716.5487805,0.043956044,0.055096255,0.472451871,0.527548128,44.19955425,-0.014081845,-0.939099234,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1
2016-04-26 00:00:00,14692700,35.74985504,3.440582781,-0.939099234,-0.257780497,1.6,2.125,3201.991228,1117.605505,0.175438596,-0.176570816,0.588285404,0.41171459,-1338.68848,-0.049785681,-0.217455366,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-04-27 00:00:00,12305000,35.54650879,2.16617745,-0.217455366,0.152840345,2.4,1.818181818,3879.639344,2250.4,0.114754098,0.056048433,0.471975787,0.52802422,-246.3666223,-0.021583773,-2.888768003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
2016-04-28 00:00:00,9836800,34.8299675,3.445311176,-2.888768003,-1.367156837,1,1.352941176,4983.910714,2742.635514,0.080357143,0.040774125,0.479612937,0.520387061,402.8276597,-0.004822672,-3.127625534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-04-29 00:00:00,17807200,33.5905304,5.150271033,-3.127625534,-1.503068586,1.25,1.882352941,3061.911765,1117.489362,0.098039216,-0.139036127,0.56951806,0.430481933,-1317.260833,-0.049232455,-2.61857073,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-04-30 00:00:00,14814733.33,33.53873698,4.201165869,-2.61857073,-1.213412536,2.5,2.923076923,3968.903226,3076.419355,0.387096774,-0.202049113,0.601024552,0.398975437,-975.9465524,-0.040420296,-2.109515926,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-05-01 00:00:00,11822266.67,33.48694356,3.252060705,-2.109515926,-0.923756485,1.666666667,2.666666667,6768.117647,2831.1875,0.235294118,0.065382935,0.467308528,0.532691467,2806.593695,0.057238513,-1.600461122,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2016-05-02 00:00:00,8829800,33.43515015,2.302955541,-1.600461122,-0.634100435,1.4,1.916666667,3470.353846,1055.125,0.123076923,0.036649841,0.481675082,0.518324921,311.8531056,-0.007171481,-0.517826522,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1
2016-05-03 00:00:00,10674200,33.58082581,2.73966456,-0.517826522,-0.018073125,1.555555556,1.829268293,3011.528302,834.4095238,0.20754717,-0.067772796,0.5338864,0.466113602,-188.8518371,-0.020098838,-2.809479473,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
2016-05-04 00:00:00,13412400,32.25040817,4.030954368,-2.809479473,-1.322041061,1.428571429,1.80952381,2847.673913,1096.022222,0.163043478,-0.079751747,0.539875875,0.460124124,-1089.427609,-0.043350186,-1.412251873,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-05-05 00:00:00,11606100,31.86196136,2.479448476,-1.412251873,-0.527007943,1.625,2.466666667,2944.56,993.0857143,0.12,-0.014958695,0.507479344,0.492520649,103.5395902,-0.012549785,1.101930305,1,1,-1,-1,1,1,1,-1,-1,1,-1
2016-05-06 00:00:00,12749100,32.07561111,2.992937206,1.101930305,0.903580814,1.3,2.333333333,2865.359551,1225.172414,0.112359551,-0.048739038,0.524369517,0.475630479,464.8937328,-0.003220231,0.643793524,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1
2016-05-07 00:00:00,11603566.67,32.04647573,2.891455762,0.643793524,0.642897506,2.5,4.625,4478.464286,2113.714286,0.464285714,0.023718817,0.488140594,0.511859409,735.0648193,0.003755131,0.185656744,1,1,-1,-1,1,1,1,-1,-1,1,1
2016-05-08 00:00:00,10458033.33,32.01734034,2.789974317,0.185656744,0.382214198,1.865524286,2,1814,1322.333333,0.2,-0.094970244,0.547485122,0.452514873,274.125217,-0.008145552,-0.272480036,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1
2016-05-09 00:00:00,9312500,31.98820496,2.688492873,-0.272480036,0.12153089,1.333333333,1.764705882,1811.065574,583.3454545,0.163934426,0.07997198,0.46001401,0.539985991,310.2472258,-0.007212943,1.594460748,1,-1,-1,-1,1,1,1,-1,-1,1,-1
2016-05-10 00:00:00,8124400,32.79422379,2.165012623,1.594460748,1.183834377,1,1.2,4761.055556,833.255814,0.088888889,-0.015748447,0.507874224,0.492125776,-829.9914616,-0.036651982,-2.434678407,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-05-11 00:00:00,8148600,31.91052246,3.729185076,-2.434678407,-1.108776407,1.428571429,2.428571429,2663.981481,694.82,0.092592593,-0.031381188,0.515690593,0.484309403,-123.9926896,-0.018424285,-5.089362264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-05-12 00:00:00,14228200,30.4247303,5.686162293,-5.089362264,-2.619311687,2.777777778,4.761904762,4420.180451,1490.707692,0.22556391,0.218713826,0.390643087,0.609356911,1975.562741,0.035782695,1.350916932,1,1,-1,-1,1,1,1,-1,-1,1,1
2016-05-13 00:00:00,10132500,30.59952736,3.039257394,1.350916932,1.045256096,1.7,1.269230769,3204,739.2658228,0.185185185,0.108482861,0.445758568,0.55424143,1109.181226,0.013414186,1.22545617,1,-1,-1,-1,1,1,1,-1,-1,1,1
2016-05-14 00:00:00,10887600,30.79698563,3.426107023,1.22545617,0.97386797,2.666666667,2.347826087,8028.125,1292.833333,0.5,-0.166601883,0.583300942,0.416699061,2358.27389,0.045663652,1.099995409,1,1,-1,-1,1,1,1,-1,-1,1,-1
2016-05-15 00:00:00,11642700,30.99444389,3.812956652,1.099995409,0.902479843,1.25,1.733333333,3327.666667,1288.807692,0.333333333,0.138042393,0.430978801,0.569021192,1549.024423,0.024770195,0.974534647,1,1,-1,-1,1,1,-1,-1,-1,1,-1
2016-05-16 00:00:00,12397800,31.19190216,4.19980628,0.974534647,0.831091717,1,1.6,2006.492754,865.0909091,0.115942029,0.087080016,0.456459992,0.543540007,141.1881442,-0.011577763,1.209300433,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1
2016-05-17 00:00:00,13303400,31.69687653,4.006705382,1.209300433,0.964675232,1,1,2436.873563,1013.86747,0.045977011,0.076639407,0.461680295,0.538319704,72.59515702,-0.013348718,0,1,1,-1,-1,1,1,-1,-1,-1,-1,-1
